episode,score
0,0
2,-1001
11,-1008
21,-1009
64,-1051
224,-1168
451,-1235
709,-1266
995,-1294
1320,-1333
1714,-1402
2111,-1405
2527,-1424
3018,-500
3509,-500
4000,-500
4108,-1116
4478,-1378
4662,-1192
4810,843
5006,795
5216,781
5264,943
5312,943
5360,943
5408,943
5456,943
5504,943
5552,943
5600,943
5648,943
5696,943
5744,943
5792,943
5840,943
5888,943
5936,943
5984,943
6032,943
6080,943
6128,943
6176,943
6224,943
6272,943
6320,943
6368,943
6416,943
6464,943
6512,943
6560,943
6608,943
6656,943
6704,943
6752,943
6800,943
6848,943
6896,943
6944,943
6992,943
7040,943
7088,943
7136,943
7184,943
7232,943
7280,943
7328,943
7376,943
7424,943
7472,943
7520,943
7568,943
7616,943
7664,943
7712,943
7760,943
7808,943
7856,943
7904,943
7952,943
8000,943
8048,943
8096,943
8144,943
8192,943
8240,943
8288,943
8336,943
8384,943
8432,943
8480,943
8528,943
8576,943
8624,943
8672,943
8720,943
8768,943
8816,943
8864,943
8912,943
8960,943
9008,943
9056,943
9104,943
9152,943
9200,943
9248,943
9296,943
9344,943
9392,943
9440,943
9488,943
9536,943
9584,943
9632,943
9680,943
9728,943
9776,943
9824,943
9872,943
9920,943
9968,943
10016,943
10064,943
10112,943
10160,943
10208,943
10256,943
10304,943
10352,943
10400,943
10448,943
10496,943
10544,943
10592,943
10640,943
10688,943
10736,943
10784,943
10832,943
10880,943
10928,943
10976,943
11024,943
11072,943
11120,943
11168,943
